county_name,reg_voters,white,latinx,aapi,black,native,missing,dnc_precinct_id,van_precinct_id,van_precinct_name
,3,0,0,0,0,0,3,511542,954068,0008
,4,1,0,0,0,0,4,511547,956454,0013
,1,0,0,0,0,0,1,511556,953267,0008
,1,0,0,0,0,0,1,511559,952938,0644
,1,0,0,0,0,0,1,511561,950613,1223
,1,0,0,0,0,0,1,511572,952140,0049
,2,0,0,0,0,0,2,511577,950436,0404
,1,0,0,0,0,0,1,511579,950374,0139
,1,0,0,0,0,0,1,511593,950746,2146
,0,0,0,0,0,0,1,511606,956024,4342
,0,1,0,0,0,0,0,511607,953435,0046
,2,0,0,0,0,0,2,511609,955713,2310
,1,0,0,0,0,0,1,513553,952269,0023
,0,0,1,0,0,0,0,513558,949638,4165
,2,0,0,0,0,0,2,513570,949350,3045
,1,0,0,0,0,0,1,513571,952414,0113
,2,0,0,0,0,0,2,513575,952640,0342
,2,0,0,0,0,0,2,513579,951306,0314
,2,0,0,0,0,0,2,513580,954615,0067
,1,0,0,0,0,0,1,513588,954324,0044
,6,0,0,0,0,0,7,513598,952183,0014
,1,0,0,0,0,0,1,513605,951255,0137
,2,0,0,0,0,0,2,513617,952466,0165
,1,0,0,0,0,0,1,513619,953674,0032
,1,0,0,0,0,0,1,515553,953454,0003
,2,0,0,0,0,0,2,515559,955121,0421
,1,0,0,0,0,0,1,515561,951656,0167
,1,0,0,0,0,0,1,515567,951210,0004
,1,0,0,0,0,0,1,515571,954977,0110
,6,0,0,0,0,0,6,515575,950241,0006
,1,0,0,0,0,0,1,515578,949225,2063
,1,0,0,0,0,0,1,515579,948965,2003
,1,0,0,0,0,0,1,515585,955348,0009n
,1,0,0,0,0,0,1,515596,950379,0144
,2,0,0,0,0,0,2,515597,956940,0024
,2,0,0,0,0,0,2,517533,951392,0006
,0,0,0,0,0,0,1,517535,952330,0029
,1,1,0,0,0,0,0,517543,948960,0410
,1,0,0,0,0,0,1,517546,951349,0425
,1,0,0,0,0,0,1,517550,951276,0218
,3,0,0,0,0,0,3,517553,950196,0045
,0,0,0,0,0,0,1,517555,956587,0401
,2,0,0,0,0,0,2,517572,953914,0312
,1,0,0,0,0,0,1,517577,950288,0053
,1,0,0,0,0,0,1,517581,954858,0105
,2,0,0,0,0,0,2,517587,955799,3063
,1,1,0,0,0,0,0,517594,949874,035b
,1,0,0,0,0,0,1,517597,952284,0002
,1,0,0,0,0,0,1,517624,951374,0001
,3,0,0,0,0,0,3,517626,953200,0230
,1,0,0,0,0,0,1,517628,952624,0325
,0,0,1,0,0,0,0,517631,953263,0004
,1,0,0,0,0,0,1,523432,950385,0150
,1,0,0,0,0,0,1,523435,955452,0008
,3,0,0,0,0,0,3,523438,953999,0001
,3,0,0,0,0,0,3,523446,956949,03-1
,1,0,0,0,0,0,1,523455,950714,2111
,1,0,0,0,0,0,1,523466,954598,0050
,1,0,0,0,0,0,1,523468,951544,0053
,1,0,0,0,0,0,1,523471,955661,2029
,1,0,0,0,0,0,1,523475,952351,0050
,0,0,0,0,0,0,1,523477,952191,0107
,1,0,0,0,0,0,1,523490,956738,0009
,1,1,0,0,0,0,2,523493,951177,4643
,1,0,0,0,0,0,1,523496,951541,0050
,5,0,0,0,0,0,5,523502,956742,0012
,1,0,0,0,0,0,1,523517,955038,0003
,1,0,0,0,0,0,1,523530,952433,0132
,1,0,0,0,0,0,1,523535,949678,0010
,2,0,0,0,0,0,3,525471,952243,0316
,0,0,1,0,0,0,0,525475,955027,0001
,1,0,0,0,0,0,1,525478,950583,1144
,2,0,0,0,0,0,2,525486,953990,004g
,1,0,0,0,0,0,1,525493,949664,0002b
,2,0,0,0,0,0,2,525500,955208,0003c
,1,0,0,0,0,0,1,525501,956642,0414
,1,0,0,0,0,0,1,525503,953894,0004
,1,0,0,0,0,0,1,525506,948969,2012
,0,0,0,0,0,0,1,525507,953058,0772
,1,0,0,0,0,0,1,525516,952358,0057
,1,0,0,0,0,0,1,525524,952645,0347
,1,0,0,0,0,0,1,525535,951258,0200
,1,0,0,0,0,0,1,525546,951045,3904
,1,0,0,0,0,0,1,527498,954067,0007
,0,1,0,0,0,0,0,527506,950199,0048
,1,0,0,0,0,0,1,527510,951497,0006
,2,0,0,0,0,0,2,527513,948863,0034
,2,0,0,0,0,0,2,527517,954622,0074
,4,0,0,0,0,0,4,527518,953194,0224
,1,0,0,0,0,0,1,527520,956532,0020
,1,0,0,0,0,0,1,527521,952565,0265
,1,0,0,0,0,0,1,527523,950665,1711
,1,0,0,0,0,0,1,527525,949216,2054
,2,0,0,0,0,0,2,527535,955199,0003
,1,0,0,0,0,0,1,527542,951407,0101
,0,1,0,0,0,0,0,527546,952711,0414
,1,0,0,0,0,0,1,527556,950732,2129
,1,0,0,0,0,0,1,531409,949005,0103
,2,0,0,0,0,0,2,531411,954589,0041
,1,0,0,0,0,0,1,531414,954761,0008
,2,0,0,0,0,0,3,531430,955582,1271
,3,0,0,0,0,0,3,531441,953671,0029
,1,0,0,0,0,0,1,531443,952430,0129
,1,0,0,0,0,0,1,531448,956059,4528
,1,0,0,0,0,0,1,531453,952710,0413
,1,0,0,0,0,0,1,531456,953895,0005
,1,0,0,0,0,0,1,531461,952852,0558
,1,0,0,0,0,0,1,531466,953982,003e
,1,0,0,0,0,0,1,531469,954321,0041
,2,0,0,0,0,0,2,531470,950361,0126
,1,0,0,0,0,0,1,531471,951494,0003
,0,0,0,0,1,0,0,531475,953992,1a5a
,1,0,0,0,0,0,1,531483,952094,0001
,3,0,0,0,0,0,3,533342,950178,0016
,1,0,0,0,0,0,1,533346,951277,0219
,2,0,0,0,0,0,2,533349,950095,0081
,1,0,0,0,0,0,1,533354,955032,0006
,1,0,0,0,0,0,1,533361,955578,1257
,1,0,0,0,0,0,1,533367,955924,3588
,1,0,0,0,0,0,1,533372,954728,0011
,1,0,0,0,0,0,1,533376,951335,0411
,1,0,0,0,0,0,1,533396,955099,0114
,0,0,0,0,0,0,1,533406,948832,0003
,2,0,0,0,0,0,2,533409,951884,4109
,1,0,0,0,0,0,1,533412,951427,0303
,2,0,0,0,0,0,2,533433,955251,0007
,1,0,0,0,0,0,1,533444,951188,4703
,2,0,0,0,0,0,2,533445,956347,0347
,1,0,0,0,0,0,1,533455,949037,0314
,1,0,0,0,0,0,1,533459,953011,0721
,1,0,0,0,0,0,1,533462,951682,0105
,1,0,0,0,0,0,1,533463,950705,2102
,1,0,0,0,0,0,1,533471,951039,3808
,1,0,0,0,0,0,1,533485,953187,0116
,1,0,0,0,0,0,1,533487,950481,0021
,0,1,0,0,0,0,2,533488,956443,0001
,1,0,0,0,0,0,1,533497,950177,0015
,0,0,0,0,0,0,1,533501,955663,2031
,0,1,0,0,0,0,0,533502,953051,0765
,0,1,0,0,0,0,0,533525,952159,0012
,1,0,0,0,0,0,1,533530,952705,0408
,1,0,0,0,0,0,1,533539,950181,0025
,1,0,0,0,0,0,1,533544,951134,4525
,2,0,0,0,0,0,2,533557,952745,0448
,1,0,0,0,0,0,1,533560,955440,0002
,1,0,0,0,0,0,1,533571,951503,0012
,1,0,0,0,0,0,1,533589,955732,2383
,0,0,1,0,0,0,0,533590,952408,0107
,1,0,0,0,0,0,1,533602,949901,0101
,2,0,0,0,0,0,2,533609,953910,0211
,3,0,0,0,0,0,3,533610,956775,0001
,1,0,0,0,0,0,1,533614,951644,0153
,1,0,0,0,0,0,1,533617,953634,0017
,1,0,0,0,0,0,1,533620,954452,0014
,1,0,0,0,0,0,1,533625,953199,0229
,1,0,0,0,0,0,1,533638,952302,0001
,1,0,0,0,0,0,1,533639,952861,0567
,0,1,0,0,0,0,0,533640,948878,0003
,1,0,0,0,0,0,1,537291,954399,0003
,1,0,0,0,0,0,1,537292,952633,0335
