id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
790,,LEON,289,ANNEX II 3RD FLOOR GREAT ROOM,155 N. CASS STREET,,CENTERVILLE,TX,48,75833,,31.258755,-95.977442,10/19-10/22 8 AM-5 PM; 10/23 7 AM-7 PM; 10/26-10/29 8 AM-5 PM; 10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
791,,LIBERTY,291,CLEVELAND CIVIC CENTER,210 PEACH AVE,,CLEVELAND,TX,48,77327,,30.34361,-95.078326,"10/19,10/24,10/26, 9AM-4PM 10/20-10/23 9AM-7PM 10/27-10/28 9AM-7PM 10/29-10/30 7AM-7PM",,,State Party,2020-10-27,TRUE,
792,,LIBERTY,291,DAYTON COMMUNITY CENTER,801 S CLEVELAND ST,,DAYTON,TX,48,77535,,30.037916,-94.88618,"10/19,10/24,10/26, 9AM-4PM 10/20-10/23 9AM-7PM 10/27-10/28 9AM-7PM 10/29-10/30 7AM-7PM",,,State Party,2020-10-27,TRUE,
793,,LIBERTY,291,HARDIN CITY HALL,142 CO RD 2010,,HARDIN,TX,48,77561,,30.15163,-94.737699,"10/19,10/24,10/26, 9AM-4PM 10/20-10/23 9AM-7PM 10/27-10/28 9AM-7PM 10/29-10/30 7AM-7PM",,,State Party,2020-10-27,TRUE,
794,,LIBERTY,291,JACK HARTEL BUILDING,318 SAN JACINTO ST,,LIBERTY,TX,48,77575,,30.058645,-94.793368,"10/19,10/24,10/26, 9AM-4PM 10/20-10/23 9AM-7PM 10/27-10/28 9AM-7PM 10/29-10/30 7AM-7PM",,,State Party,2020-10-27,TRUE,
795,,LIMESTONE,293,EARLY VOTING GROESBECK,200 W STATE ST RM G1,,GROESBECK,TX,48,76642,,31.522585,-96.534172,"10/13-10/16 8AM-5PM; 10/17, 10/24 10AM-4PM; 10/19-10/23 8AM-6PM; 10/26-10/30 7AM-6PM",,,State Party,2020-10-27,TRUE,
796,,LIMESTONE,293,EARLY VOTING MEXIA,205 S MCKINNEY ST,,MEXIA,TX,48,76667,,31.678506,-96.48223,"10/13-10/16 8AM-5PM; 10/17, 10/24 10AM-4PM; 10/19-10/23 8AM-6PM; 10/26-10/30 7AM-6PM",,,State Party,2020-10-27,TRUE,
797,,LIPSCOMB,295,LIPSCOMB COUNTY EARLY VOTING,301 SOUT,,LIPSCOMB,TX,48,79005,,36.45336,-100.53737,"10/13-10/16, 10/20-10/23, 10/27-10/30 8:30AM-5PM; 10/19, 10/26 7AM-7PM",,,State Party,2020-10-27,TRUE,
798,,LIVE OAK,297,LIVE OAK COUNTY COURTHOUSE,301 EAST HOUSTON STREET GEORGE,,WEST,TX,48,78022,,28.337628,-98.109812,11/03 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
799,,LLANO,299,HORSESHOE BAY CITY OFFICE,1 COMMUNITY DRIVE,,HORSESHOE BAY,TX,48,78657,,30.544354,-98.366443,10/19-10/23 08:30 AM-04:30 PM; 10/26-10/30 08:30 AM-04:30 PM,,,State Party,2020-10-27,TRUE,
800,,LLANO,299,KINGSLAND PUBLIC LIBRARY,125 W. POLK,,KINGSLAND,TX,48,78639,,30.658538,-98.438094,10/19-10/23 08:30 AM-04:30 PM; 10/24 09:00 AM-01:00 PM; 10/26-10/30 08:30 AM-04:30 PM,,,State Party,2020-10-27,TRUE,
801,,LLANO,299,LLANO COUNTY LIBRARY,102 E HAYNIE ST,,LLANO,TX,48,78643,,30.750889,-98.675491,10/19 7 AM-7 PM; 10/20-10/23 8 AM-4:30 PM; 10/24 9 AM-1 PM; 10/26-10/30 8 AM-4:30 PM,,,State Party,2020-10-27,TRUE,
802,,LOVING,301,COUNTY CLERKS OFFICE,100 BELL STREET,,MENTONE,TX,48,79754,,31.706593,-103.598426,10/19-10/22 8 AM-5 PM; 10/23 8 AM-12 PM; 10/26-10/29 8 AM-5 PM; 10/30 8 AM-12 PM,,,State Party,2020-10-27,TRUE,
803,,LUBBOCK,303,ABERNATHY CITY HALL,811 AVENUE D,,ABERNATHY,TX,48,79311,,33.830852,-101.843198,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
804,,LUBBOCK,303,AMIGOS #503,112 N UNIVERSITY AVE,,LUBBOCK,TX,48,79415,,33.599193,-101.870099,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
805,,LUBBOCK,303,CASEY ADMINISTRATION BUILDING,501 7TH STREET,,WOLFFORTH,TX,48,79382,,33.503618,-102.012919,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
806,,LUBBOCK,303,CITIZENS TOWER,1314 AVENUE K,,LUBBOCK,TX,48,79401,,33.583077,-101.848073,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
807,,LUBBOCK,303,ELECTIONS OFFICE,1308 CRICKETS AVE,,LUBBOCK,TX,48,79401,,33.583183,-101.843379,10/18 10 AM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 10 AM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
808,,LUBBOCK,303,HERITAGE MIDDLE SCHOOL,6110 73RD,,LUBBOCK,TX,48,79424,,33.527917,-101.950475,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
