id,source_id,county_name,county_fips,location_name,address_line1,location_detail,city,state,state_fips,zip5,zip4,latitude,longitude,schedule,exceptions,notes,source,date_acquired,county_wide,van_precinct_ids
0,,ANDERSON,1,COURTHOUSE ANNEX 703 N MALLARD,703 N MALLARD STE 103A,,PALESTINE,TX,48,75801,,31.766257,-95.628111,10/19 7-7 10/20-10/23 8-5 10/24 8-5 10/25 10-4 10/26-10/28 7-7 10/29-10/30 8-5,,,State Party,2020-10-27,TRUE,
1,,ANDREWS,3,JAMES ROBERTS,855 EAST BROADWAY ANDREWS,,ANDREWS,TX,48,79714,,32.322107,-102.531338,10/19 7 AM-7 PM; 10/20-10/21 8 AM-5 PM; 10/22 7 AM-7 PM; 10/23 8 AM-5 PM; 10/26-10/30 8 AM-5 PM,,,State Party,2020-10-27,TRUE,
2,,ANGELINA,5,CITY OF LUFKIN PARKS AND RECREATION BUILDING,516 MONTROSE ST,,LUFKIN,TX,48,75901,,31.333496,-94.723571,10/18 12-5 10/19-10/21 8-5 10/22-10/23 7-7 10/24 8-5 10/25 12-5 10/26-10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
3,,ANGELINA,5,FIRST BAPTIST CHURCH FAMILY LIFE CENTER,802 N. MAIN,,HUNTINGTON,TX,48,75949,,31.283889,-94.573582,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
4,,ANGELINA,5,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,601 DENNIS,,DIBOLL,TX,48,75941,,31.180174,-94.777799,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
5,,ANGELINA,5,ZAVALLA FIRST BAPTIST CHURCH FAMILY LIFE CENTER,1034 E. MAIN ST,,ZAVALLA,TX,48,75980,,31.15437,-94.412257,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
6,,ARANSAS,7,"ELECTIONS & VOTER REGISTRATION BUILDING 602 E CONCHO, ROCKPORT",602 E CONCHO,,ROCKPORT,TX,48,78382,,28.025478,-97.055437,10/19-10/24 8-5 10/26 7-7 10/27 8-5 10/28 7-7 10/29 8-5 10/30 7-7,,,State Party,2020-10-27,TRUE,
7,,ARANSAS,7,FULTON VOLUNTEER FIRE DEPARTMENT,401 N 9TH ST,,FULTON,TX,48,78358,,28.065355,-97.04231,10/19-10/24 8-5 10/26 7-7 10/27 8-5 10/28 7-7 10/29 8-5 10/30 7-7,,,State Party,2020-10-27,TRUE,
8,,ARCHER,9,ARCHER CO. COURTHOUSE ANNEX,112 EAST WALNUT STREET,,ARCHER CITY,TX,48,76351,,33.594547,-98.625161,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
9,,ARCHER,9,HOLLIDAY CITY HALL,110 WEST OLIVE ST,,HOLLIDAY,TX,48,76366,,33.816027,-98.696018,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
10,,ARCHER,9,LAKESIDE CITY MUNCIPAL BUILDING,42 DONNA STREET,,LAKESIDE CITY,TX,48,76308,,33.831438,-98.527647,10/19-10/23 08:00 AM-05:00 PM; 10/26-10/30 08:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
11,,ARMSTRONG,11,COURTHOUSE LOBBY,100 TRICE,,CLAUDE,TX,48,79019,,35.109927,-101.359544,10/19-10/24 08:00 AM-05:00 PM; 10/26-10/30 09:00 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
12,,ATASCOSA,13,ATASCOSA COUNTY ANNEX II BUILDING,914 N MAIN STREET,,JOURDANTON,TX,48,78026,,28.920912,-98.543812,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
13,,ATASCOSA,13,JUSTICE OF THE PEACE #2,1567 FM 3175,,LYTLE,TX,48,78052,,29.207087,-98.784246,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
14,,ATASCOSA,13,JUSTICE OF THE PEACE PCT 4,744 HWY 281 SOUTH,,PLEASANTON,TX,48,78064,,28.950802,-98.484468,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
15,,ATASCOSA,13,POTEET EMS,551 BROADWAY ST.,,POTEET,TX,48,78065,,29.037048,-98.572869,10/19 8-5 10/20 7-7 10/21-10/23 8-5 10/24 9-3 10/26 8-5 10/27 7-7 10/28-10/30 8-5,,,State Party,2020-10-27,TRUE,
16,,AUSTIN,15,AUSTIN COUNTY ANNEX (WENDT STREET),800 WENDT STREET,,BELLVILLE,TX,48,77418,,29.94015,-96.253844,10/19-10/23 08:00 AM-05:30 PM; 10/26-10/30 08:00 AM-05:30 PM,,,State Party,2020-10-27,TRUE,
17,,AUSTIN,15,W E HILL COMMUNITY CENTER,1000 MAIN ST,,SEALY,TX,48,77474,,29.779412,-96.167305,10/19-10/23 09:00 AM-06:00 PM; 10/26-10/28 09:00 AM-06:00 PM; 10/29-10/30 07:00 AM-07:00 PM,,,State Party,2020-10-27,TRUE,
18,,BAILEY,17,BAILEY COUNTY CIVIC CENTER,2206 WEST AMERICAN BOULIVARD,,MULESHOE,TX,48,79347,,34.23932,-102.74839,10/13-10/30 Mon-Fri 8AM-5PM,,,State Party,2020-10-27,TRUE,
19,,BANDERA,19,LAKEHILLS AREA LIBRARY,7200 FM 1283 LAKEHILLS,,LAKEHILLS,TX,48,78063,,29.63447,-98.937932,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
20,,BANDERA,19,MEDINA TAX OFFICE ANNEX,1102 15TH STREET,,HONDO,TX,48,78861,,29.35138,-99.140933,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
21,,BANDERA,19,RAY MAUER ANNEX,403 12TH STREET,,BANDERA,TX,48,78003,,29.726103,-99.070968,10/19 7:30-5:30 10/20 7-7 10/21-10/23 7:30-5:30 10/26 7:30-5:30 10/27 7-7 10/28-10/30 7:30-5:30,,,State Party,2020-10-27,TRUE,
22,,BASTROP,21,BASTROP COUNTY COURTHOUSE ANNEX,804 PECAN ST.,,BASTROP,TX,48,78602,,30.108874,-97.317818,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
23,,BASTROP,21,CEDAR CREEK UNITED METHODIST CHURCH,5630 FM 535,,CEDAR CREEK,TX,48,78612,,30.088196,-97.501353,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
24,,BASTROP,21,ELGIN PUBLIC LIBRARY,404 N. MAIN ST.,,ELGIN,TX,48,78621,,30.350711,-97.371994,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
25,,BASTROP,21,SMITHVILLE CITY HALL,317 MAIN ST.,,SMITHVILLE,TX,48,78957,,30.009154,-97.15956,10/18 1 PM-5 PM; 10/19-10/24 8 AM-5 PM; 10/25 1 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
26,,BAYLOR,23,BAYLOR COUNTY LIBRARY,101 S WASHINGTON ST,,SEYMOUR,TX,48,76380,,33.587415,-99.261051,10/19-10/23 08:30 AM-05:00 PM; 10/26-10/30 08:30 AM-05:00 PM,,,State Party,2020-10-27,TRUE,
27,,BEE,25,BEE COUNTY EXPO CENTER,214 S FM 351,,BEEVILLE,TX,48,78102,,28.387609,-97.766148,10/19-10/23 07:00 AM-07:00 PM; 10/24 10:00 AM-04:00 PM; 10/26-10/30 07:00 AM-07:00 PM,,,State Party,2020-10-27,TRUE,
28,,BELL,27,BELTON - BELL COUNTY ANNEX,550 E. 2ND AVE,,BELTON,TX,48,76513,,31.056418,-97.45734,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
29,,BELL,27,HARKER HEIGHTS PARKS AND RECREATION CENTER,307 MILLER'S CROSSING,,HARKER HEIGHTS,TX,48,76548,,31.067477,-97.664516,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
30,,BELL,27,KILLEEN - BELL COUNTY ANNEX,301 PRIEST DR,,KILLEEN,TX,48,76541,,31.115456,-97.733583,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
31,,BELL,27,KILLEEN COMMUNITY CENTER,2201 E. VETERANS MEMORIAL BLVD,,KILLEEN,TX,48,76543,,31.109198,-97.712735,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
32,,BELL,27,SALADO CHURCH OF CHRIST,225 N. CHURCH ST,,SALADO,TX,48,76571,,30.949567,-97.537021,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
33,,BELL,27,TEMPLE - BELL COUNTY ANNEX,205 E. CENTRAL AVE,,TEMPLE,TX,48,76501,,31.095569,-97.338922,10/18 12 PM-5 PM; 10/19-10/23 8 AM-5 PM; 10/24 7 AM-7 PM; 10/25 12 PM-5 PM; 10/26-10/30 7 AM-7 PM,,,State Party,2020-10-27,TRUE,
34,,BEXAR,29,ALZAFAR SHRINE AUDITORIUM,901 N. LOOP 1604 W.,,SAN ANTONIO,TX,48,78232,,29.609689,-98.501021,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
35,,BEXAR,29,AT&T CENTER,1 AT&T CENTER PARKWAY,,SAN ANTONIO,TX,48,78219,,29.434704,-98.433498,10/13-10/17 08:00 AM-06:00 PM,,,State Party,2020-10-27,TRUE,
36,,BEXAR,29,BEXAR COUNTY ELECTIONS,1103 S. FRIO,,SAN ANTONIO,TX,48,78207,,29.414893,-98.506346,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
37,,BEXAR,29,BROOKHOLLOW LIBRARY,530 HEIMER RD.,,SAN ANTONIO,TX,48,78232,,29.569627,-98.473308,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
38,,BEXAR,29,CASTLE HILLS CITY HALL,209 LEMONWOOD,,SAN ANTONIO,TX,48,78213,,29.522057,-98.521537,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
39,,BEXAR,29,CLAUDE BLACK CENTER,2805 E. COMMERCE,,SAN ANTONIO,TX,48,78202,,29.420526,-98.445314,10/18 12 PM-6 PM; 10/19-10/24 8 AM-6 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
40,,BEXAR,29,CODY LIBRARY,11441 VANCE JACKSON,,SAN ANTONIO,TX,48,78230,,29.547156,-98.565504,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
41,,BEXAR,29,COLLINS GARDEN LIBRARY,200 N. PARK BLVD,,SAN ANTONIO,TX,48,78204,,29.398377,-98.514815,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
42,,BEXAR,29,COPERNICUS COMM. CENTER,5003 LORD RD.,,SAN ANTONIO,TX,48,78220,,29.413883,-98.394022,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
43,,BEXAR,29,CORTEZ LIBRARY,2803 HUNTER BLVD.,,SAN ANTONIO,TX,48,78224,,29.334876,-98.551698,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
44,,BEXAR,29,ENCINO LIBRARY,2515 E. EVANS RD.,,SAN ANTONIO,TX,48,78259,,29.636804,-98.448959,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
45,,BEXAR,29,FAIR OAKS RANCH CITY HALL,7286 DIETZ-ELKHORN RD.,,FAIR OAKS RANCH,TX,48,78015,,29.730278,-98.626306,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
46,,BEXAR,29,FRANK GARRETT MULTI CENTER,1226 NW 18TH STREET,,SAN ANTONIO,TX,48,78207,,29.442157,-98.531149,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
47,,BEXAR,29,GRANADOS ADULT AND SENIOR CENTER,500 FREILING,,SAN ANTONIO,TX,48,78213,,29.48966,-98.538283,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
48,,BEXAR,29,GREAT NORTHWEST LIBRARY,9050 WELLWOOD,,SAN ANTONIO,TX,48,78250,,29.483413,-98.662695,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
49,,BEXAR,29,HARLANDALE CIVIC CENTER,115 W. SOUTHCROSS BLVD,,SAN ANTONIO,TX,48,78221,,29.368956,-98.504985,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
50,,BEXAR,29,HELOTES CITY HALL,12951 BANDERA ROAD,,HELOTES,TX,48,78023,,29.562804,-98.686236,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
51,,BEXAR,29,HENRY A. GUERRA JR. LIBRARY,7978 W. MILITARY DRIVE,,SAN ANTONIO,TX,48,78227,,29.424441,-98.625464,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
52,,BEXAR,29,JOHN IGO LIBRARY,13330 KYLE SEALE PARKWAY,,SAN ANTONIO,TX,48,78249,,29.569554,-98.643267,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
53,,BEXAR,29,JOHNSTON LIBRARY,6307 SUN VALLEY DRIVE,,SAN ANTONIO,TX,48,78227,,29.370736,-98.639333,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
54,,BEXAR,29,JULIA YATES SEMMES LIBRARY,15060 JUDSON RD.,,SAN ANTONIO,TX,48,78247,,29.579505,-98.372773,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
55,,BEXAR,29,KIRBY CITY HALL,112 BAUMAN ST.,,KIRBY,TX,48,78219,,29.471772,-98.382183,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
56,,BEXAR,29,LAS PALMAS LIBRARY,515 CASTROVILLE RD.,,SAN ANTONIO,TX,48,78237,,29.418136,-98.549588,10/13-10/17 08:00 AM-06:00 PM,,,State Party,2020-10-27,TRUE,
57,,BEXAR,29,LEON VALLEY CONFERENCE CENTER,6427 EVERS RD.,,SAN ANTONIO,TX,48,78238,,29.502713,-98.61188,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
58,,BEXAR,29,LION'S FIELD,2809 BROADWAY ST.,,SAN ANTONIO,TX,48,78209,,29.453209,-98.473164,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
59,,BEXAR,29,"MAURY MAVERICK, JR. LIBRARY",8700 MYSTIC PARK,,SAN ANTONIO,TX,48,78254,,29.523802,-98.642849,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 AM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
60,,BEXAR,29,MCCRELESS LIBRARY,1023 ADA ST.,,SAN ANTONIO,TX,48,78223,,29.381559,-98.45799,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
61,,BEXAR,29,MEMORIAL BRANCH LIBRARY,3222 CULEBRA RD.,,SAN ANTONIO,TX,48,78228,,29.448285,-98.564124,10/13-10/17 08:00 AM-06:00 PM,,,State Party,2020-10-27,TRUE,
62,,BEXAR,29,MISSION LIBRARY,3134 ROOSEVELT AVE,,SAN ANTONIO,TX,48,78214,,29.364931,-98.480396,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
63,,BEXAR,29,NORTHSIDE ACTIVITY CENTER,7001 CULEBRA RD.,,SAN ANTONIO,TX,48,78238,,29.452497,-98.624866,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-8 PM,,,State Party,2020-10-27,TRUE,
64,,BEXAR,29,NORTHWEST VISTA COLLEGE,3535 N. ELLISON DRIVE,,SAN ANTONIO,TX,48,78251,,29.470888,-98.707457,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
65,,BEXAR,29,OLD CONVERSE CITY HALL,405 S. SEGUIN ROAD,,CONVERSE,TX,48,78109,,29.514792,-98.312196,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
66,,BEXAR,29,OUR LADY OF THE LAKE UNIVERSITY,411 S.W. 24TH STREET,,SAN ANTONIO,TX,48,78207,,29.426599,-98.544237,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
67,,BEXAR,29,PALO ALTO COLLEGE,1400 W. VILLARET BLVD,,SAN ANTONIO,TX,48,78224,,29.322982,-98.546479,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
68,,BEXAR,29,PARMAN LIBRARY,20735 WILDERNESS OAK,,SAN ANTONIO,TX,48,78258,,29.635601,-98.51505,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
69,,BEXAR,29,SAC VICTORY CENTER,1819 N. MAIN AVE.,,SAN ANTONIO,TX,48,78212,,29.446615,-98.496401,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
70,,BEXAR,29,SCHAEFER LIBRARY,6322 US HWY 87 E.,,SAN ANTONIO,TX,48,78222,,29.392842,-98.365775,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
71,,BEXAR,29,SHAVANO PARK CITY HALL,900 SADDLETREE CT.,,SHAVANO PARK,TX,48,78231,,29.58502,-98.554587,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
72,,BEXAR,29,SOMERSET CITY HALL,7360 EAST 6TH ST. SOMERSET,,SOMERSET,TX,48,78069,,29.225959,-98.648371,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
73,,BEXAR,29,SOUTHSIDE ISD ADMIN BLDG,1460 MARTINEZ-LOSOYA RD.,,SAN ANTONIO,TX,48,78221,,29.241746,-98.47381,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
74,,BEXAR,29,SOUTHWEST ISD ADMIN BUILDING,11914 DRAGON LANE,,SAN ANTONIO,TX,48,78252,,29.308887,-98.669997,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
75,,BEXAR,29,ST. PAUL COMMUNITY CENTER,1201 DONALDSON AVE.,,SAN ANTONIO,TX,48,78228,,29.465292,-98.550062,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
76,,BEXAR,29,THOUSAND OAKS EL SENDERO LIBRARY,4618 THOUSAND OAKS,,SAN ANTONIO,TX,48,78233,,29.545092,-98.401476,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
77,,BEXAR,29,TOBIN LIBRARY @ OAKWELL,4134 HARRY WURZBACH,,SAN ANTONIO,TX,48,78209,,29.510655,-98.433879,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
78,,BEXAR,29,UNIVERSAL CITY LIBRARY,100 NORTHVIEW DR.,,SAN ANTONIO,TX,48,78148,,29.549136,-98.296878,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
79,,BEXAR,29,UTSA,1 UTSA CIRCLE,,SAN ANTONIO,TX,48,78249,,29.584401,-98.617614,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
80,,BEXAR,29,WINDCREST TAKAS PARK CIVIC CENTER,9310 JIM SEAL DR.,,WINDCREST,TX,48,78239,,29.524562,-98.379445,10/13-10/17 08:00 AM-06:00 PM,,,State Party,2020-10-27,TRUE,
81,,BEXAR,29,WONDERLAND OF THE AMERICAS,4522 FRED RD.,,SAN ANTONIO,TX,48,78201,,29.475622,-98.529623,10/18 12 PM-6 PM; 10/19-10/24 8 AM-8 PM; 10/25 12 PM-6 PM; 10/26-10/30 8 AM-10 PM,,,State Party,2020-10-27,TRUE,
82,,BLANCO,31,302 BLANCO COUNTY COURTHOUSE ANNEX,101 E. CYPRESS ST.,,JOHNSON CITY,TX,48,78636,,30.278771,-98.412019,10/19-10/24 08:00 AM-04:30 PM; 10/25 10:00 AM-02:00 PM; 10/26-10/30 08:00 AM-04:30 PM,,,State Party,2020-10-27,TRUE,
83,,BLANCO,31,401 SOUTH BLANCO COUNTY ANNEX,402 BLANCO AVE,,BLANCO,TX,48,78606,,30.088633,-98.416993,10/19-10/24 08:00 AM-04:30 PM; 10/25 10:00 AM-02:00 PM; 10/26-10/30 08:00 AM-04:30 PM,,,State Party,2020-10-27,TRUE,
84,,BORDEN,33,EARLY VOTING,117 EAST WASSON,,GAIL,TX,48,79738,,32.769962,-101.444915,10/19-10/23 1-5 10/19-10/23 8-12 10/24 8-4 10/26-10/30 1-5 10/26-10/30 8-12,,,State Party,2020-10-27,TRUE,
85,,BOSQUE,35,CLIFTON CIVIC CENTER,403 W. THIRD,,CLIFTON,TX,48,76634,,31.783954,-97.575607,10/19-10/21 8-5 10/22 8-6 10/23 8-5 10/24 10-3 10/26-10/27 8-5 10/28-10/29 8-6 10/30 8-5,,,State Party,2020-10-27,TRUE,
86,,BOSQUE,35,COMMISSIONER'S COURTROOM,110 S MAIN ST,,MERIDIAN,TX,48,76665,,31.922984,-97.65698,10/19-10/21 8-5 10/22-10/23 8-6 10/24 10-3 10/26-10/27 8-5 10/28 8-6 10/29 7-7 10/30 8-5,,,State Party,2020-10-27,TRUE,
87,,BOWIE,37,NEW BOSTON COURTHOUSE EARLY VOTING,710 JAMES BOWIE DR,,NEW BOSTON,TX,48,75570,,33.472547,-94.405941,10/19-10/22 8 AM-6 PM; 10/23 7 AM-7 PM; 10/24 8 AM-5 PM; 10/26-10/30 8 AM-6 PM,,,State Party,2020-10-27,TRUE,
88,,BOWIE,37,SOUTHWEST CENTER,3222 W 7TH ST,,TEXARKANA,TX,48,75501,,33.420826,-94.084819,10/19-10/22 8 AM-6 PM; 10/23 7 AM-7 PM; 10/24 8 AM-5 PM; 10/26-10/30 8 AM-6 PM,,,State Party,2020-10-27,TRUE,
89,,BOWIE,37,WALNUT CHURCH OF CHRIST,2720 MOORES LANE,,TEXARKANA,TX,48,75503,,33.473909,-94.075452,10/19-10/22 8 AM-6 PM; 10/23 7 AM-7 PM; 10/24 8 AM-5 PM; 10/26-10/30 8 AM-6 PM,,,State Party,2020-10-27,TRUE,
